contig_id	count	cpm	tpm	fpkm	length
k127_3435	17	187.36	899.81	9917.02	648
k127_2930	2	22.04	118.89	1310.27	577
k127_3939	2	22.04	128.46	1415.78	534
k127_1315	12	132.25	383.94	4231.49	1072
k127_3334	2	22.04	127.03	1400.05	540
k127_3030	14	154.30	923.43	10177.28	520
k127_1717	4	44.08	196.27	2163.17	699
k127_1926	2	22.04	133.46	1470.87	514
k127_1720	2	22.04	119.93	1321.72	572
k127_306	2	22.04	123.82	1364.67	554
k127_3033	4	44.08	242.39	2671.47	566
k127_4442	2	22.04	116.66	1285.76	588
k127_611	2	22.04	127.50	1405.25	538
k127_4041	8	88.17	428.73	4725.17	640
k127_3438	2	22.04	121.63	1340.47	564
k127_2937	2	22.04	130.66	1440.05	525
k127_4647	11	121.23	635.16	7000.25	594
k127_1416	16	176.34	791.89	8727.58	693
k127_2938	2	22.04	126.10	1389.75	544
k127_3439	8	88.17	441.85	4869.74	621
k127_3844	14	154.30	613.26	6758.86	783
k127_4242	2	22.04	120.77	1331.03	568
k127_2332	4	44.08	252.20	2779.51	544
k127_1825	115	1267.44	5524.29	60884.50	714
k127_1417	2	22.04	133.98	1476.61	512
k127_3440	8	88.17	369.80	4075.62	742
k127_411	6	66.13	375.53	4138.83	548
k127_4447	6	66.13	308.53	3400.42	667
k127_412	2	22.04	122.28	1347.64	561
k127_3744	2645	29151.15	30773.39	339160.53	2948
k127_1327	2	22.04	125.87	1387.20	545
k127_1524	68	749.44	987.43	10882.69	2362
k127_1120	13	143.28	601.73	6631.81	741
k127_205	2	22.04	123.15	1357.32	557
k127_2432	53	584.13	652.02	7186.05	2788
k127_4852	41	451.87	2080.24	22926.84	676
k127_1330	21	231.45	1395.88	15384.26	516
k127_318	5	55.11	302.46	3333.45	567
k127_625	2	22.04	120.35	1326.36	570
k127_2236	2	22.04	132.43	1459.51	518
k127_4952	14	154.30	541.97	5973.12	886
k127_3644	4275	47115.74	51466.05	567219.01	2849
k127_3350	69	760.46	4334.45	47770.91	546
k127_4050	2	22.04	135.57	1494.12	506
k127_626	12	132.25	508.13	5600.20	810
k127_4558	2	22.04	129.67	1429.16	529
k127_319	580	6392.31	20319.94	223950.69	979
k127_2238	3	33.06	200.19	2206.30	514
k127_725	2	22.04	127.98	1410.50	536
k127_1127	6	66.13	366.18	4035.73	562
k127_3748	2	22.04	136.65	1506.03	502
k127_3447	2	22.04	131.41	1448.33	522
k127_1532	6	66.13	358.52	3951.36	574
k127_819	3	33.06	194.14	2139.70	530
k127_3048	3	33.06	199.41	2197.75	516
k127_628	2	22.04	123.82	1364.67	554
k127_4353	7356	81072.14	54422.12	599798.54	4636
k127_3049	2	22.04	133.46	1470.87	514
k127_1534	57	628.21	3376.55	37213.75	579
k127_529	2	22.04	124.95	1377.10	549
k127_2437	3	33.06	193.05	2127.65	533
k127_3751	8	88.17	498.89	5498.38	550
k127_4257	2	22.04	133.72	1473.74	513
k127_1341	2	22.04	130.91	1442.80	524
k127_730	2	22.04	130.66	1440.05	525
k127_1634	2	22.04	124.27	1369.61	552
k127_2845	4	44.08	249.44	2749.19	550
k127_3958	4	44.08	213.37	2351.56	643
k127_4963	2	22.04	116.86	1287.95	587
k127_4156	38	418.81	635.47	7003.66	2051
k127_823	350	3857.43	21986.32	242316.23	546
k127_3959	4	44.08	186.66	2057.22	735
k127_1843	2	22.04	133.98	1476.61	512
k127_4965	2	22.04	120.56	1328.69	569
k127_2343	2	22.04	137.19	1512.05	500
k127_532	13	143.28	758.30	8357.44	588
k127_4967	1154	12718.50	78845.93	868978.84	502
k127_4262	6	66.13	221.76	2444.05	928
k127_2247	4	44.08	264.34	2913.40	519
k127_114	4	44.08	196.27	2163.17	699
k127_4263	2	22.04	119.09	1312.55	576
k127_2143	2	22.04	133.72	1473.74	513
k127_1950	78	859.66	1745.14	19233.55	1533
k127_1543	2	22.04	131.16	1445.56	523
k127_2047	12	132.25	419.98	4628.73	980
k127_1644	2	22.04	128.46	1415.78	534
k127_3558	4	44.08	255.48	2815.74	537
k127_1647	36	396.76	2290.82	25247.64	539
k127_2348	5	55.11	221.85	2445.11	773
k127_3965	6	66.13	249.75	2752.52	824
k127_1435	2	22.04	121.84	1342.85	563
k127_1849	2	22.04	120.98	1333.38	567
k127_1436	4	44.08	218.46	2407.73	628
k127_3967	20	220.42	1104.63	12174.34	621
k127_1046	11	121.23	298.25	3287.07	1265
k127_3466	12	132.25	457.32	5040.18	900
k127_1651	8	88.17	453.54	4998.52	605
k127_934	2	22.04	132.43	1459.51	518
k127_2254	1024	11285.74	35985.48	396604.14	976
k127_4666	22	242.47	831.02	9158.91	908
k127_2651	2	22.04	127.27	1402.65	539
k127_643	12	132.25	283.46	3124.08	1452
k127_3970	6	66.13	295.68	3258.74	696
k127_937	8	88.17	519.68	5727.47	528
k127_1746	12	132.25	551.72	6080.64	746
k127_2562	2	22.04	133.98	1476.61	512
k127_3367	10	110.21	330.43	3641.75	1038
k127_3562	2	22.04	134.77	1485.32	509
k127_4072	3	33.06	170.92	1883.79	602
k127_1442	9	99.19	501.93	5531.90	615
k127_1351	6	66.13	174.70	1925.36	1178
k127_2565	2	22.04	126.56	1394.88	542
k127_2256	14	154.30	733.10	8079.67	655
k127_437	2	22.04	126.80	1397.46	541
k127_4672	12	132.25	607.95	6700.38	677
k127_3369	2	22.04	126.56	1394.88	542
k127_124	2	22.04	128.70	1418.44	533
k127_2971	2	22.04	126.10	1389.75	544
k127_1357	2	22.04	119.72	1319.42	573
k127_4674	25	275.53	1556.20	17151.24	551
k127_743	60	661.27	1071.83	11812.92	1920
k127_4074	1318	14525.98	32083.49	353599.41	1409
k127_651	30	330.64	1341.54	14785.40	767
k127_1858	25	275.53	604.70	6664.55	1418
k127_3077	2	22.04	121.41	1338.10	565
k127_3469	8900	98088.92	71122.57	783858.01	4292
k127_4887	17	187.36	1091.90	12034.13	534
k127_3982	8	88.17	398.82	4395.50	688
k127_745	2	22.04	130.91	1442.80	524
k127_3880	93	1024.97	6254.46	68931.84	510
k127_1860	2	22.04	125.64	1384.66	546
k127_4284	8	88.17	410.15	4520.34	669
