contig_id	count	cpm	tpm	fpkm	length
k127_3153	30	681.29	1139.23	25871.65	1012
k127_679	16	363.36	1217.59	27651.07	505
k127_6534	2	45.42	146.96	3337.43	523
k127_682	92	2089.29	6721.61	152645.99	526
k127_2030	81	1839.49	5711.63	129709.52	545
k127_9680	64	1453.42	4407.75	100098.85	558
k127_5632	16	363.36	1105.90	25114.73	556
k127_4055	2	45.42	153.11	3477.04	502
k127_3837	126	2861.43	6810.40	154662.23	711
k127_912	2	45.42	146.40	3324.71	525
k127_3612	17	386.07	982.42	22310.57	665
k127_8337	264	5995.37	5559.20	126247.96	1825
k127_1143	2	45.42	141.03	3202.70	545
k127_3396	3	68.13	195.08	4430.14	591
k127_5645	86	1953.04	6480.37	147167.40	510
k127_10363	122	2770.59	8139.71	184850.52	576
k127_1146	174	3951.49	4617.98	104873.08	1448
k127_2044	24	545.03	1746.82	39669.86	528
k127_4286	90	2043.88	6440.80	146268.75	537
k127_1583	2	45.42	147.81	3356.68	520
k127_9025	176	3996.91	5795.80	131620.99	1167
k127_9694	2	45.42	143.66	3262.57	535
k127_10828	2	45.42	141.81	3220.43	542
k127_2726	2	45.42	153.11	3477.04	502
k127_4292	6	136.26	307.85	6991.22	749
k127_2943	380	8629.70	5145.68	116856.95	2838
k127_8354	176	3996.91	5780.94	131283.50	1170
k127_5656	2	45.42	136.28	3094.81	564
k127_253	168	3815.23	12297.63	279275.80	525
k127_6556	208	4723.62	5929.87	134665.63	1348
k127_4532	44	999.23	2196.01	49870.68	770
k127_7444	2	45.42	135.32	3073.02	568
k127_8144	76	1725.94	5097.19	115755.68	573
k127_4541	6	136.26	302.20	6862.94	763
k127_10845	2	45.42	153.72	3490.95	500
k127_2274	63	1430.71	4775.34	108446.59	507
k127_2507	2	45.42	146.68	3331.06	524
k127_9933	173	3928.78	12044.21	273520.80	552
k127_9475	2	45.42	151.00	3429.22	509
k127_3860	632	14352.55	8819.11	200279.49	2754
k127_719	14	317.94	983.59	22336.96	547
k127_10169	2	45.42	131.84	2993.95	583
