contig_id	count	cpm	tpm	fpkm	length
k127_801	2	13.43	53.33	358.03	532
k127_4588	1626	10915.39	37145.76	249360.63	621
k127_5976	4	26.85	82.84	556.12	685
k127_1000	286	1919.93	3834.96	25744.19	1058
k127_7373	3	20.14	75.73	508.37	562
k127_2992	13	87.27	206.99	1389.52	891
k127_7573	2	13.43	51.87	348.21	547
k127_4986	62	416.21	1570.67	10543.93	560
k127_3596	5	33.57	102.50	688.12	692
k127_4393	538	3611.61	12720.71	85394.51	600
k127_8570	1055	7082.25	14377.45	96516.30	1041
k127_6778	2	13.43	48.67	326.71	583
k127_1405	2	13.43	49.78	334.16	570
k127_4396	2	13.43	51.97	348.85	546
k127_9567	701	4705.83	11590.74	77808.97	858
k127_3396	32	214.82	213.53	1433.46	2126
k127_3602	8	53.70	162.83	1093.09	697
k127_2208	13	87.27	344.08	2309.82	536
k127_5784	30	201.39	254.85	1710.82	1670
k127_610	17	114.12	388.36	2607.09	621
k127_7379	4	26.85	69.80	468.56	813
k127_5590	2	13.43	51.59	346.31	550
k127_3799	22	147.69	562.35	3775.10	555
k127_8973	182	1221.77	4253.66	28554.97	607
k127_7977	16	107.41	170.03	1141.40	1335
k127_7382	4	26.85	107.47	721.48	528
k127_8382	2	13.43	52.74	354.04	538
k127_8975	2	13.43	53.23	357.36	533
k127_3402	2	13.43	55.09	369.85	515
k127_8777	31	208.10	855.62	5743.78	514
k127_5788	78	523.62	2080.00	13963.10	532
k127_3406	2	13.43	48.25	323.93	588
k127_9388	1748	11734.38	19208.59	128947.86	1291
k127_8383	7945	53335.03	33505.66	224924.55	3364
k127_6593	16	107.41	332.34	2230.99	683
k127_5413	1146	7693.13	28422.93	190804.02	572
k127_9775	4466	29980.40	35257.45	236684.37	1797
k127_421	51	342.36	389.62	2615.51	1857
k127_8984	6	40.28	148.55	997.23	573
k127_5414	44	295.37	798.23	5358.52	782
k127_5795	47	315.51	1063.43	7138.87	627
k127_9581	2	13.43	51.97	348.85	546
k127_6003	6	40.28	160.91	1080.18	529
k127_1421	7	46.99	124.13	833.31	800
k127_433	29	194.68	723.05	4853.83	569
k127_8193	2	13.43	50.22	337.12	565
k127_5212	4	26.85	99.03	664.82	573
k127_4211	2	13.43	53.94	362.11	526
k127_232	2	13.43	53.13	356.69	534
k127_5611	2	13.43	56.41	378.67	503
k127_4412	4	26.85	107.07	718.76	530
k127_2418	4762	31967.46	30403.64	204100.60	2222
k127_8597	4	26.85	111.05	745.48	511
k127_2030	21	140.97	293.81	1972.33	1014
k127_3417	1263	8478.56	12946.36	86909.29	1384
k127_36	446	2994.01	10927.90	73359.31	579
k127_1628	3	20.14	83.29	559.11	511
k127_442	620	4162.08	14908.02	100078.00	590
k127_8799	13	87.27	342.80	2301.23	538
k127_4820	14	93.98	317.27	2129.87	626
k127_3020	2	13.43	49.69	333.57	571
k127_3229	6	40.28	163.38	1096.76	521
k127_9593	24	161.11	318.21	2136.12	1070
k127_7407	2	13.43	50.76	340.74	559
k127_1040	47	315.51	1258.06	8445.41	530
k127_4020	307	2060.90	5822.60	39087.30	748
k127_4824	2	13.43	49.78	334.16	570
k127_2430	2	13.43	50.76	340.74	559
k127_6423	18	120.83	197.95	1328.87	1290
k127_4633	6	40.28	150.39	1009.56	566
k127_9408	76	510.19	1361.35	9138.76	792
k127_2633	39	261.81	350.18	2350.75	1580
k127_3030	2	13.43	53.03	356.02	535
k127_1633	231	1550.71	721.67	4844.62	4541
k127_3240	22	147.69	532.61	3575.39	586
k127_4831	331	2222.01	8568.95	57523.64	548
k127_1637	2	13.43	54.56	366.29	520
k127_9415	2	13.43	48.67	326.71	583
k127_4641	2	13.43	54.15	363.49	524
k127_3841	48	322.23	1294.60	8690.69	526
k127_645	2	13.43	56.18	377.17	505
k127_1842	2896	19440.94	25423.62	170669.59	1616
k127_6803	39658	266225.40	40083.69	269083.08	14036
k127_7419	8	53.70	128.68	863.81	882
k127_6225	62	416.21	1554.02	10432.16	566
k127_6226	2	13.43	49.95	335.34	568
k127_5442	2	13.43	54.04	362.80	525
k127_4835	9	60.42	117.14	786.35	1090
k127_865	2	13.43	54.77	367.70	518
k127_4836	14	93.98	202.67	1360.51	980
k127_7035	6	40.28	158.51	1064.08	537
k127_60	2	13.43	51.97	348.85	546
k127_5637	8	53.70	198.76	1334.30	571
k127_8026	42	281.95	999.73	6711.23	596
k127_3249	29	194.68	779.19	5230.74	528
k127_5447	6	40.28	119.05	799.18	715
k127_8633	178	1194.92	5030.33	33768.77	502
k127_7229	6	40.28	154.76	1038.93	550
k127_1057	39	261.81	349.73	2347.78	1582
k127_2259	66	443.06	1684.03	11304.94	556
k127_6817	2	13.43	56.52	379.42	502
k127_7431	406	2725.49	10176.30	68313.82	566
k127_5849	2	13.43	55.42	372.01	512
k127_1859	12	80.56	213.33	1432.11	798
k127_6644	4	26.85	101.88	683.92	557
k127_4660	59	396.07	758.85	5094.19	1103
k127_5456	2	13.43	55.09	369.85	515
k127_5046	6	40.28	106.80	716.95	797
k127_5257	4	26.85	109.97	738.26	516
k127_71	3	20.14	73.13	490.90	582
k127_2265	7	46.99	123.06	826.08	807
k127_2465	12	80.56	235.14	1578.49	724
k127_6251	2	13.43	55.74	374.21	509
k127_883	4	26.85	92.27	619.42	615
k127_1069	76	510.19	1611.64	10818.98	669
k127_6453	4	26.85	97.00	651.18	585
k127_675	2	13.43	52.84	354.69	537
k127_3272	2	13.43	53.23	357.36	533
k127_6259	2	13.43	54.88	368.42	517
k127_6454	25	167.83	541.48	3634.94	655
k127_4677	13	87.27	312.06	2094.86	591
k127_4276	2	13.43	55.09	369.85	515
k127_4857	66	443.06	462.61	3105.51	2024
k127_4476	10	67.13	167.89	1127.05	845
k127_1078	2	13.43	55.74	374.21	509
k127_2673	16	107.41	356.34	2392.10	637
k127_100	3	20.14	80.91	543.17	526
k127_4862	5	33.57	94.45	634.06	751
k127_2480	290	1946.78	4118.25	27645.95	999
k127_8262	36	241.67	369.28	2479.02	1383
k127_6667	2	13.43	51.97	348.85	546
k127_2481	2	13.43	55.42	372.01	512
k127_903	2	13.43	56.07	376.42	506
k127_105	3	20.14	57.98	389.25	734
k127_4866	4	26.85	109.55	735.41	518
k127_905	43	288.66	1210.37	8125.25	504
k127_2890	2	13.43	54.15	363.49	524
k127_307	37	248.38	338.43	2271.90	1551
k127_3679	2	13.43	54.25	364.19	523
k127_308	25	167.83	680.74	4569.84	521
k127_907	37	248.38	882.20	5922.21	595
k127_8270	1382	9277.41	16517.24	110880.78	1187
k127_2294	17	114.12	277.85	1865.21	868
k127_7871	12	80.56	326.76	2193.52	521
k127_5680	6	40.28	142.34	955.54	598
k127_1087	942	6323.68	14557.56	97725.33	918
k127_5485	20	134.26	525.43	3527.24	540
k127_5277	25	167.83	709.33	4761.78	500
k127_6676	86	577.32	2155.57	14470.41	566
k127_8066	6	40.28	163.07	1094.66	522
k127_3285	20	134.26	215.60	1447.35	1316
k127_4492	5209	34968.18	38955.37	261508.60	1897
k127_5487	6	40.28	153.65	1031.43	554
k127_4301	4	26.85	103.36	693.88	549
k127_1483	81	543.76	2266.51	15215.14	507
k127_5488	8	53.70	155.68	1045.11	729
k127_9846	1030	6914.42	25680.60	172394.70	569
k127_3881	13	87.27	270.42	1815.34	682
k127_6475	42	281.95	1081.38	7259.33	551
k127_7473	639	4289.63	10690.19	71763.56	848
k127_8871	991	6652.61	23085.36	154972.74	609
k127_6683	65	436.35	1783.62	11973.52	517
k127_7876	4	26.85	105.09	705.45	540
k127_1093	2	13.43	50.04	335.93	567
k127_3491	20	134.26	360.53	2420.22	787
k127_8072	12	80.56	324.89	2180.97	524
k127_7275	333	2235.44	5041.79	33845.71	937
k127_2109	2	13.43	50.58	339.52	561
k127_4085	2111	14171.21	19497.43	130886.83	1536
k127_9086	2	13.43	52.06	349.49	545
k127_128	4	26.85	105.48	708.07	538
k127_4509	4	26.85	95.21	639.16	596
k127_4892	588	3947.26	11950.94	80227.05	698
k127_3699	5972	40090.22	47120.55	316321.75	1798
k127_4318	5	33.57	131.12	880.18	541
k127_7702	2	13.43	50.85	341.35	558
k127_8691	15	100.70	414.81	2784.66	513
k127_2116	2	13.43	50.31	337.71	564
k127_937	5	33.57	128.50	862.64	552
k127_8886	2	13.43	50.85	341.35	558
k127_2323	2	13.43	54.56	366.29	520
k127_4518	8	53.70	160.98	1080.69	705
k127_531	11	73.84	194.58	1306.22	802
k127_6699	127	852.55	3281.80	22030.80	549
k127_2121	14	93.98	362.43	2433.02	548
k127_3511	295	1980.34	8048.20	54027.84	520
k127_5922	2	13.43	52.16	350.13	544
k127_8889	1888	12674.20	15990.70	107346.06	1675
k127_3514	2	13.43	50.76	340.74	559
k127_717	7	46.99	189.16	1269.81	525
k127_6894	2	13.43	56.41	378.67	503
k127_6500	6	40.28	144.52	970.14	589
k127_5924	16	107.41	245.92	1650.89	923
k127_3516	18	120.83	420.00	2819.47	608
k127_8294	2	13.43	53.64	360.06	529
k127_341	2	13.43	51.03	342.57	556
k127_9872	489	3282.67	13444.34	90252.26	516
k127_342	3	20.14	69.20	464.56	615
k127_5714	2	13.43	48.50	325.59	585
k127_1719	2	13.43	54.77	367.70	518
k127_147	2	13.43	49.43	331.83	574
k127_8488	40	268.52	282.04	1893.35	2012
k127_721	23	154.40	299.35	2009.56	1090
k127_2531	15	100.70	168.75	1132.86	1261
k127_545	6	40.28	91.92	617.08	926
k127_5717	2	13.43	52.84	354.69	537
k127_349	4	26.85	100.44	674.23	565
