contig_id	count	cpm	tpm	fpkm	length
k127_2133	2	39.50	59.13	1167.94	532
k127_76728	2	39.50	57.83	1142.18	544
k127_6398	5	98.76	144.30	2850.20	545
k127_87385	2	39.50	61.08	1206.49	515
k127_53289	3	59.26	93.44	1845.58	505
k127_44764	11	217.27	240.97	4759.60	718
k127_85254	2	39.50	60.15	1188.04	523
k127_57551	4	79.01	103.31	2040.54	609
k127_61813	3	59.26	90.39	1785.47	522
k127_2135	3	59.26	88.36	1745.35	534
k127_19189	2	39.50	57.93	1144.28	543
k127_10663	2	39.50	61.68	1218.32	510
k127_93778	5	98.76	154.51	3051.79	509
k127_66076	6	118.51	105.68	2087.38	893
k127_14926	13	256.77	177.96	3515.00	1149
k127_17059	2	39.50	60.96	1204.16	516
k127_6402	3	59.26	89.03	1758.52	530
k127_63944	22	434.54	230.84	4559.57	1499
k127_76730	19	375.29	284.89	5627.05	1049
k127_104437	2	39.50	58.04	1146.39	542
k127_29853	3	59.26	65.26	1289.10	723
k127_93781	5	98.76	126.44	2497.36	622
k127_63945	7	138.26	100.92	1993.31	1091
k127_98042	8	158.02	98.54	1946.26	1277
k127_89518	2	39.50	61.20	1208.84	514
k127_74607	2	39.50	60.15	1188.04	523
k127_61819	10	197.52	191.81	3788.69	820
k127_44769	7	138.26	182.29	3600.51	604
k127_104440	6	118.51	129.28	2553.47	730
k127_93783	2	39.50	59.58	1176.79	528
k127_100178	4	79.01	94.04	1857.53	669
k127_51165	6	118.51	182.89	3612.47	516
k127_14930	8	158.02	234.76	4636.90	536
k127_74611	4	79.01	125.08	2470.55	503
k127_42643	8	158.02	180.53	3565.82	697
k127_100180	7	138.26	206.57	4080.12	533
k127_63948	47	928.34	446.14	8812.07	1657
k127_91659	2	39.50	57.51	1135.91	547
k127_29860	3	59.26	80.94	1598.66	583
k127_68216	4	79.01	110.57	2183.99	569
k127_14933	2	39.50	55.87	1103.63	563
k127_34126	2	39.50	56.99	1125.62	552
k127_4275	9	177.77	158.17	3124.08	895
k127_23463	3	59.26	90.57	1788.90	521
k127_87398	20	395.04	271.18	5356.42	1160
k127_70352	2	39.50	62.17	1227.95	506
k127_36253	9	177.77	131.56	2598.56	1076
k127_74613	23	454.29	420.16	8299.02	861
k127_44776	3	59.26	84.87	1676.29	556
k127_2146	2	39.50	59.13	1167.94	532
k127_42648	3	59.26	81.08	1601.40	582
k127_59697	10	197.52	264.35	5221.38	595
k127_85270	2	39.50	59.69	1179.02	527
k127_40521	2	39.50	58.47	1154.92	538
k127_95923	2	39.50	56.38	1113.52	558
k127_89525	7	138.26	151.24	2987.23	728
k127_4277	10	197.52	137.25	2710.93	1146
k127_29865	2	39.50	59.92	1183.51	525
k127_55438	2	39.50	58.04	1146.39	542
k127_12812	4	79.01	123.12	2431.88	511
k127_36256	2	39.50	59.92	1183.51	525
k127_102318	2	39.50	62.79	1240.21	501
k127_57563	14	276.53	138.67	2738.92	1588
k127_6416	5	98.76	97.09	1917.73	810
k127_12813	3	59.26	83.22	1643.77	567
k127_51173	6	118.51	180.10	3557.32	524
k127_49049	2	39.50	56.89	1123.59	553
