contig_id	count	cpm	tpm	fpkm	length
k127_7900	33	105.21	504.69	1608.98	525
k127_8532	735	2343.22	7837.24	24985.53	753
k127_6321	7	22.32	85.55	272.73	657
k127_13271	15	47.82	222.21	708.42	542
k127_12642	2	6.38	28.93	92.24	555
k127_12955	14	44.63	135.27	431.24	831
k127_12325	2455	7826.67	27377.23	87280.09	720
k127_319	751	2394.23	8789.95	28022.83	686
k127_7588	17	54.20	81.78	260.73	1669
k127_8538	8	25.50	114.91	366.33	559
k127_14851	48	153.03	763.17	2433.02	505
k127_14218	4	12.75	45.11	143.81	712
k127_640	10	31.88	102.28	326.08	785
k127_10749	5	15.94	62.44	199.05	643
k127_9172	49	156.21	777.53	2478.80	506
k127_3	35	111.58	512.81	1634.87	548
k127_10750	11	35.07	159.71	509.17	553
k127_2852	2	6.38	30.65	97.70	524
k127_4433	13	41.44	131.79	420.16	792
k127_6961	5	15.94	79.18	252.44	507
k127_13593	2	6.38	27.98	89.19	574
k127_5065	4	12.75	38.14	121.60	842
k127_13280	6	19.13	95.78	305.34	503
k127_10116	70	223.16	184.34	587.67	3049
k127_8851	6	19.13	63.14	201.29	763
k127_7909	1751	5582.28	20675.11	65913.36	680
k127_3167	127	404.88	1112.00	3545.12	917
k127_12652	106	337.93	952.00	3035.04	894
k127_6331	3728	11885.06	15729.24	50145.66	1903
k127_10431	19360	61720.72	47565.70	151642.00	3268
k127_6967	48	153.03	360.86	1150.45	1068
k127_3171	2	6.38	28.83	91.91	557
k127_10432	40	127.52	357.65	1140.20	898
k127_14545	6	19.13	56.74	180.90	849
k127_11074	2	6.38	29.85	95.16	538
k127_1282	2	6.38	28.68	91.42	560
k127_3173	111	353.87	1093.54	3486.27	815
k127_3799	39380	125545.56	34256.63	109211.96	9230
k127_12342	568	1810.81	4032.33	12855.29	1131
k127_3496	15	47.82	99.87	318.38	1206
k127_10127	16	51.01	153.67	489.90	836
k127_1284	6	19.13	51.63	164.61	933
k127_6972	4	12.75	32.84	104.69	978
k127_9501	19	60.57	151.64	483.45	1006
k127_8231	44	140.27	616.55	1965.60	573
k127_6025	28	89.27	229.40	731.35	980
k127_6654	2	6.38	30.88	98.45	520
k127_9506	2	6.38	31.06	99.02	517
k127_8865	1361	4338.94	19478.96	62099.98	561
k127_9815	2	6.38	28.93	92.24	555
k127_15182	4	12.75	61.76	196.90	520
k127_12970	1057	3369.77	11919.71	38000.66	712
k127_6341	6	19.13	75.75	241.49	636
k127_8234	2	6.38	30.07	95.87	534
k127_2235	6	19.13	83.64	266.64	576
k127_10437	82	261.42	241.61	770.27	2725
k127_2548	22	70.14	131.23	418.38	1346
k127_5713	19	60.57	208.69	665.32	731
k127_3808	24	76.51	188.55	601.11	1022
k127_6986	4	12.75	56.25	179.32	571
k127_14870	5	15.94	49.02	156.27	819
k127_3501	39	124.33	288.08	918.40	1087
k127_9819	31	98.83	275.64	878.76	903
k127_7922	5	15.94	77.80	248.04	516
k127_15496	28	89.27	231.29	737.37	972
k127_8868	6	19.13	65.81	209.81	732
k127_5081	57	181.72	240.75	767.52	1901
k127_13610	4	12.75	54.99	175.32	584
k127_2868	13	41.44	127.92	407.80	816
k127_6346	74	235.92	677.49	2159.87	877
k127_10141	30	95.64	451.08	1438.06	534
k127_975	527	1680.10	1514.45	4828.15	2794
k127_6665	1184	3774.66	9954.49	31735.44	955
k127_4137	5	15.94	69.46	221.43	578
k127_12354	6	19.13	64.49	205.60	747
k127_8243	210	669.49	2989.58	9530.95	564
k127_10448	4	12.75	45.82	146.06	701
k127_15498	904	2882.00	2774.61	8845.59	2616
k127_6352	22	70.14	147.45	470.07	1198
k127_1930	4	12.75	47.44	151.24	677
k127_1613	13	41.44	112.96	360.14	924
k127_14565	56	178.53	480.89	1533.11	935
k127_8248	22	70.14	302.99	965.94	583
k127_12029	1335	4256.05	1342.05	4278.52	7987
k127_13312	6	19.13	66.36	211.55	726
k127_14249	7461	23786.07	26079.94	83144.26	2297
k127_8249	8	25.50	102.77	327.65	625
k127_2873	2	6.38	29.41	93.76	546
k127_11727	13	41.44	70.29	224.09	1485
k127_13946	22	70.14	308.28	982.80	573
k127_8251	11	35.07	156.32	498.36	565
k127_12678	8	25.50	63.91	203.76	1005
k127_14880	188	599.35	749.87	2390.62	2013
k127_5730	6	19.13	74.81	238.49	644
k127_11390	89473	285244.73	50910.20	162304.44	14111
k127_6355	2	6.38	30.88	98.45	520
k127_1934	2	6.38	31.43	100.19	511
k127_12360	3	9.56	37.00	117.96	651
k127_4774	4	12.75	48.96	156.08	656
k127_7308	16	51.01	174.78	557.22	735
k127_7935	6	19.13	59.99	191.26	803
k127_8569	282	899.03	1072.08	3417.84	2112
k127_11093	76	242.29	357.48	1139.66	1707
k127_12985	13	41.44	187.40	597.43	557
k127_7632	14	44.63	178.71	569.74	629
k127_2877	4	12.75	63.98	203.96	502
k127_11731	18	57.38	166.89	532.05	866
k127_3820	50	159.40	658.13	2098.15	610
k127_14254	2	6.38	31.12	99.21	516
k127_12362	6	19.13	64.06	204.23	752
k127_6358	354	1128.57	2954.60	9419.43	962
k127_6999	2	6.38	31.86	101.58	504
k127_13320	26	82.89	163.22	520.35	1279
k127_11393	4	12.75	63.35	201.95	507
k127_3513	38	121.15	206.57	658.57	1477
k127_1313	5	15.94	76.76	244.72	523
k127_1622	2	6.38	29.20	93.08	550
k127_8256	55	175.34	707.70	2256.18	624
k127_3823	55	175.34	349.92	1115.58	1262
k127_990	648	2065.86	7422.11	23662.09	701
k127_6047	10	31.88	131.63	419.63	610
k127_4779	2	6.38	31.49	100.38	510
k127_11396	46	146.65	308.04	982.05	1199
k127_8575	3	9.56	45.19	144.08	533
k127_7317	3	9.56	39.62	126.30	608
k127_5742	14	44.63	192.81	614.69	583
k127_1628	8	25.50	110.37	351.85	582
k127_10163	6	19.13	76.11	242.63	633
k127_679	2	6.38	30.47	97.14	527
k127_3827	9	28.69	90.78	289.42	796
k127_5419	23	73.33	101.97	325.09	1811
k127_1630	10	31.88	109.54	349.21	733
k127_995	85	270.98	1314.99	4192.26	519
k127_9846	2	6.38	30.47	97.14	527
k127_3521	2	6.38	28.78	91.75	558
k127_5106	3	9.56	43.40	138.36	555
k127_10790	3	9.56	47.14	150.28	511
k127_15510	1412	4501.53	2710.30	8640.58	4183
k127_14580	3	9.56	40.15	127.99	600
k127_5107	17	54.20	258.03	822.60	529
k127_10165	48	153.03	238.79	761.26	1614
k127_4781	35	111.58	115.55	368.38	2432
k127_2573	6	19.13	65.81	209.81	732
k127_10470	32	102.02	474.05	1511.29	542
k127_7647	3	9.56	34.96	111.45	689
k127_6054	2	6.38	29.85	95.16	538
k127_15516	5	15.94	74.76	238.34	537
k127_9224	2	6.38	29.25	93.25	549
k127_2264	163	519.65	301.70	961.82	4338
k127_14895	6	19.13	72.44	230.95	665
k127_9225	24	76.51	366.35	1167.94	526
k127_689	7	22.32	106.65	340.00	527
